fighter1,fighter2,result1,result2,date
Yves-Edwards,Rafaello-Oliveira,Win,Loss,2011-10-01
Michael-Johnson,Paul-Sass,Loss,Win,2011-10-01
Mike-Easton,Byron-Bloodworth,Win,Loss,2011-10-01
Shane-Roller,TJ-Grant,Loss,Win,2011-10-01
Josh-Neer,Keith-Wisniewski,Win,Loss,2011-10-01
Walel-Watson,Joseph-Sandoval,Win,Loss,2011-10-01
Brock-Lesnar,Alistair-Overeem,Loss,Win,2011-12-31
Nate-Diaz,Donald-Cerrone,Win,Loss,2011-12-31
Jon-Fitch,Johny-Hendricks,Loss,Win,2011-12-31
Vladimir-Matyushenko,Alexander-Gustafsson,Loss,Win,2011-12-31
Nam-Phan,Jimy-Hettes,Loss,Win,2011-12-31
Ross-Pearson,Junior-Assuncao,Win,Loss,2011-12-31
Anthony-Njokuani,Danny-Castillo,Loss,Win,2011-12-31
Dong Hyun-Kim,Sean-Pierson,Win,Loss,2011-12-31
Jacob-Volkmann,Efrain-Escudero,Win,Loss,2011-12-31
Manvel-Gamburyan,Diego-Nunes,Loss,Win,2011-12-31
Mauricio-Rua,Dan-Henderson,Loss,Win,2011-11-19
Wanderlei-Silva,Cung-Le,Win,Loss,2011-11-19
Urijah-Faber,Brian-Bowles,Win,Loss,2011-11-19
Rick-Story,Martin-Kampmann,Loss,Win,2011-11-19
Stephan-Bonnar,Kyle-Kingsbury,Win,Loss,2011-11-19
Ryan-Bader,Jason-Brilz,Win,Loss,2011-11-19
Michael-McDonald,Alex-Soto,Win,Loss,2011-11-19
Tom-Lawlor,Chris-Weidman,Loss,Win,2011-11-19
Gleison-Tibau,Rafael-Dos Anjos,Win,Loss,2011-11-19
Miguel-Torres,Nick-Pace,Win,Loss,2011-11-19
Matt-Brown,Seth-Baczynski,Loss,Win,2011-11-19
Danny-Castillo,Shamar-Bailey,Win,Loss,2011-11-19
Cain-Velasquez,Junior-Dos Santos,Loss,Win,2011-11-12
Clay-Guida,Benson-Henderson,Loss,Win,2011-11-12
Dustin-Poirier,Pablo-Garza,Win,Loss,2011-11-12
Cub-Swanson,Ricardo-Lamas,Loss,Win,2011-11-12
DaMarques-Johnson,Clay-Harvison,Win,Loss,2011-11-12
Norifumi-Yamamoto,Darren-Uyenoyama,Loss,Win,2011-11-12
Mackens-Semerzier,Robert-Peralta,No Contest,No Contest,2011-11-12
Alex-Caceres,Cole-Escovedo,Win,Loss,2011-11-12
Mike-Pierce,Paul-Bradley,Win,Loss,2011-11-12
Aaron-Rosa,Matt-Lucas,Win,Loss,2011-11-12
Michael-Bisping,Jason-Miller,Win,Loss,2011-12-03
Diego-Brandao,Dennis-Bermudez,Win,Loss,2011-12-03
TJ-Dillashaw,John-Dodson,Loss,Win,2011-12-03
Tony-Ferguson,Yves-Edwards,Win,Loss,2011-12-03
Louis-Gaudinot,Johnny-Bedford,Loss,Win,2011-12-03
Marcus-Brimage,Stephen-Bass,Win,Loss,2011-12-03
Dustin-Pague,John-Albert,Loss,Win,2011-12-03
Roland-Delorme,Josh-Ferguson,Win,Loss,2011-12-03
Steven-Siler,Josh-Clopton,Win,Loss,2011-12-03
Bryan-Caraway,Dustin-Neace,Win,Loss,2011-12-03
Jon-Jones,Lyoto-Machida,Win,Loss,2011-12-10
Frank-Mir,Antonio Rodrigo-Nogueira,Win,Loss,2011-12-10
Tito-Ortiz,Rogerio-Nogueira,Loss,Win,2011-12-10
Claude-Patrick,Brian-Ebersole,Loss,Win,2011-12-10
Mark-Hominick,Chan Sung-Jung,Loss,Win,2011-12-10
Krzysztof-Soszynski,Igor-Pokrajac,Loss,Win,2011-12-10
Jared-Hamman,Constantinos-Philippou,Loss,Win,2011-12-10
John-Makdessi,Dennis-Hallman,Loss,Win,2011-12-10
Walel-Watson,Yves-Jabouin,Loss,Win,2011-12-10
Mark-Bocek,Nik-Lentz,Win,Loss,2011-12-10
Rich-Attonito,Jake-Hecht,Loss,Win,2011-12-10
Mitch-Clarke,John-Cholish,Loss,Win,2011-12-10
Melvin-Guillard,Jim-Miller,Loss,Win,2012-01-21
Duane-Ludwig,Josh-Neer,Loss,Win,2012-01-21
Mike-Easton,Jared-Papazian,Win,Loss,2012-01-21
Pat-Barry,Christian-Morecraft,Win,Loss,2012-01-21
Jorge-Rivera,Eric-Schafer,Win,Loss,2012-01-21
Kamal-Shalorus,Khabib-Nurmagomedov,Loss,Win,2012-01-21
Charlie-Brenneman,Daniel-Roberts,Win,Loss,2012-01-21
Fabricio-Camoes,Tommy-Hayden,Win,Loss,2012-01-21
Daniel-Pineda,Pat-Schilling,Win,Loss,2012-01-21
Joseph-Sandoval,Nick-Denis,Loss,Win,2012-01-21
Rashad-Evans,Phil-Davis,Win,Loss,2012-01-28
Chael-Sonnen,Michael-Bisping,Win,Loss,2012-01-28
Demian-Maia,Chris-Weidman,Loss,Win,2012-01-28
Evan-Dunham,Nik-Lentz,Win,Loss,2012-01-28
Mike-Russow,Jon Olav-Einemo,Win,Loss,2012-01-28
Cub-Swanson,George-Roop,Win,Loss,2012-01-28
Charles-Oliveira,Eric-Wisely,Win,Loss,2012-01-28
Michael-Johnson,Shane-Roller,Win,Loss,2012-01-28
Joey-Beltran,Lavar-Johnson,Loss,Win,2012-01-28
Chris-Camozzi,Dustin-Jacoby,Win,Loss,2012-01-28
Jose-Aldo,Chad-Mendes,Win,Loss,2012-01-15
Vitor-Belfort,Anthony-Johnson,Win,Loss,2012-01-15
Rousimar-Palhares,Mike-Massenzio,Win,Loss,2012-01-15
Erick-Silva,Carlo-Prater,Loss,Win,2012-01-15
Edson-Barboza,Terry-Etim,Win,Loss,2012-01-15
Thiago-Tavares,Sam-Stout,Win,Loss,2012-01-15
Gabriel-Gonzaga,Ednaldo-Oliveira,Win,Loss,2012-01-15
Iuri-Alcantara,Michihiro-Omigawa,Win,Loss,2012-01-15
Ricardo-Funch,Mike-Pyle,Loss,Win,2012-01-15
Felipe-Arantes,Antonio-Carvalho,Win,Loss,2012-01-15
Jon-Jones,Rashad-Evans,Win,Loss,2012-04-21
Rory-MacDonald,Che-Mills,Win,Loss,2012-04-21
Brendan-Schaub,Ben-Rothwell,Loss,Win,2012-04-21
Miguel-Torres,Michael-McDonald,Loss,Win,2012-04-21
Mark-Hominick,Eddie-Yagin,Loss,Win,2012-04-21
Mark-Bocek,John-Alessio,Win,Loss,2012-04-21
Travis-Browne,Chad-Griggs,Win,Loss,2012-04-21
Matt-Brown,Stephen-Thompson,Win,Loss,2012-04-21
John-Makdessi,Anthony-Njokuani,Loss,Win,2012-04-21
Mac-Danzig,Efrain-Escudero,Win,Loss,2012-04-21
Keith-Wisniewski,Chris-Clements,Loss,Win,2012-04-21
Marcus-Brimage,Maximo-Blanco,Win,Loss,2012-04-21
Nick-Diaz,Carlos-Condit,Loss,Win,2012-02-05
Roy-Nelson,Fabricio-Werdum,Loss,Win,2012-02-05
Josh-Koscheck,Mike-Pierce,Win,Loss,2012-02-05
Renan-Barao,Scott-Jorgensen,Win,Loss,2012-02-05
Ed-Herman,Clifford-Starks,Win,Loss,2012-02-05
Dustin-Poirier,Max-Holloway,Win,Loss,2012-02-05
Alex-Caceres,Edwin-Figueroa,Loss,Win,2012-02-05
Matt-Brown,Chris-Cope,Win,Loss,2012-02-05
Matthew-Riddle,Henry-Martinez,Win,Loss,2012-02-05
Rafael-Natal,Michael-Kuiper,Win,Loss,2012-02-05
Dan-Stittgen,Stephen-Thompson,Loss,Win,2012-02-05
Alexander-Gustafsson,Thiago-Silva,Win,Loss,2012-04-14
Brian-Stann,Alessio-Sakara,Win,Loss,2012-04-14
Paulo-Thiago,Siyar-Bahadurzada,Loss,Win,2012-04-14
Dennis-Siver,Diego-Nunes,Win,Loss,2012-04-14
DaMarques-Johnson,John-Maguire,Loss,Win,2012-04-14
Brad-Pickett,Damacio-Page,Win,Loss,2012-04-14
Papy-Abedi,James-Head,Loss,Win,2012-04-14
Cyrille-Diabate,Tom-DeBlass,Win,Loss,2012-04-14
Francis-Carmont,Magnus-Cedenblad,Win,Loss,2012-04-14
Reza-Madadi,Yoislandy-Izquierdo,Win,Loss,2012-04-14
Simeon-Thoresen,Besam-Yousef,Win,Loss,2012-04-14
Jason-Young,Eric-Wisely,Win,Loss,2012-04-14
Diego-Sanchez,Jake-Ellenberger,Loss,Win,2012-02-15
Stefan-Struve,Dave-Herman,Win,Loss,2012-02-15
Aaron-Simpson,Ronny-Markes,Loss,Win,2012-02-15
Stipe-Miocic,Philip-De Fries,Win,Loss,2012-02-15
TJ-Dillashaw,Walel-Watson,Win,Loss,2012-02-15
Ivan-Menjivar,John-Albert,Win,Loss,2012-02-15
Jonathan-Brookins,Vagner-Rocha,Win,Loss,2012-02-15
Anton-Kuivanen,Justin-Salas,Loss,Win,2012-02-15
Tim-Means,Bernardo-Magalhaes,Win,Loss,2012-02-15
Nate-Diaz,Jim-Miller,Win,Loss,2012-05-05
Josh-Koscheck,Johny-Hendricks,Loss,Win,2012-05-05
Rousimar-Palhares,Alan-Belcher,Loss,Win,2012-05-05
Pat-Barry,Lavar-Johnson,Loss,Win,2012-05-05
Tony-Ferguson,Michael-Johnson,Loss,Win,2012-05-05
John-Dodson,Tim-Elliott,Win,Loss,2012-05-05
John-Hathaway,Pascal-Krauss,Win,Loss,2012-05-05
Louis-Gaudinot,John-Lineker,Win,Loss,2012-05-05
Danny-Castillo,John-Cholish,Win,Loss,2012-05-05
Dennis-Bermudez,Pablo-Garza,Win,Loss,2012-05-05
Roland-Delorme,Nick-Denis,Win,Loss,2012-05-05
Mike-Massenzio,Karlos-Vemola,Loss,Win,2012-05-05
Thiago-Alves,Martin-Kampmann,Loss,Win,2012-03-02
Joseph-Benavidez,Yasuhiro-Urushitani,Win,Loss,2012-03-02
Demetrious-Johnson,Ian-McCall,Draw,Draw,2012-03-02
Court-McGee,Constantinos-Philippou,Loss,Win,2012-03-02
James-Te Huna,Aaron-Rosa,Win,Loss,2012-03-02
Anthony-Perosh,Nick-Penner,Win,Loss,2012-03-02
Cole-Miller,Steven-Siler,Loss,Win,2012-03-02
Kyle-Noke,Andrew-Craig,Loss,Win,2012-03-02
TJ-Waldburger,Jake-Hecht,Win,Loss,2012-03-02
Mackens-Semerzier,Daniel-Pineda,Loss,Win,2012-03-02
Oli-Thompson,Shawn-Jordan,Loss,Win,2012-03-02
Frankie-Edgar,Benson-Henderson,Loss,Win,2012-02-26
Quinton-Jackson,Ryan-Bader,Loss,Win,2012-02-26
Mark-Hunt,Cheick-Kongo,Win,Loss,2012-02-26
Yoshihiro-Akiyama,Jake-Shields,Loss,Win,2012-02-26
Yushin-Okami,Tim-Boetsch,Loss,Win,2012-02-26
Hatsu-Hioki,Bart-Palaszewski,Win,Loss,2012-02-26
Anthony-Pettis,Joe-Lauzon,Win,Loss,2012-02-26
Takanori-Gomi,Eiji-Mitsuoka,Win,Loss,2012-02-26
Norifumi-Yamamoto,Vaughan-Lee,Loss,Win,2012-02-26
Riki-Fukuda,Steve-Cantwell,Win,Loss,2012-02-26
Takeya-Mizugaki,Chris-Cariaso,Loss,Win,2012-02-26
Zhang-Tiequan,Issei-Tamura,Loss,Win,2012-02-26
Jake-Ellenberger,Martin-Kampmann,Loss,Win,2012-06-01
Michael-Chiesa,Al-Iaquinta,Win,Loss,2012-06-01
Jonathan-Brookins,Charles-Oliveira,Loss,Win,2012-06-01
Max-Holloway,Pat-Schilling,Win,Loss,2012-06-01
Justin-Lawrence,John-Cofer,Win,Loss,2012-06-01
Daron-Cruickshank,Chris-Tickle,Win,Loss,2012-06-01
Myles-Jury,Chris-Saunders,Win,Loss,2012-06-01
Cristiano-Marcello,Sam-Sicilia,Loss,Win,2012-06-01
Joe-Proctor,Jeremy-Larsen,Win,Loss,2012-06-01
John-Albert,Erik-Perez,Loss,Win,2012-06-01
Chan Sung-Jung,Dustin-Poirier,Win,Loss,2012-05-15
Amir-Sadollah,Jorge-Lopez,Win,Loss,2012-05-15
Donald-Cerrone,Jeremy-Stephens,Win,Loss,2012-05-15
Yves-Jabouin,Jeff-Hougland,Win,Loss,2012-05-15
Igor-Pokrajac,Fabio-Maldonado,Win,Loss,2012-05-15
Jason-MacDonald,Tom-Lawlor,Loss,Win,2012-05-15
Brad-Tavares,Dongi-Yang,Win,Loss,2012-05-15
Cody-McKenzie,Marcus-LeVesseur,Win,Loss,2012-05-15
TJ-Grant,Carlo-Prater,Win,Loss,2012-05-15
Rafael-Dos Anjos,Kamal-Shalorus,Win,Loss,2012-05-15
Jeff-Curran,Johnny-Eduardo,Loss,Win,2012-05-15
Alex-Soto,Francisco-Rivera,Loss,Win,2012-05-15
Anderson-Silva,Chael-Sonnen,Win,Loss,2012-07-07
Forrest-Griffin,Tito-Ortiz,Win,Loss,2012-07-07
Cung-Le,Patrick-Cote,Win,Loss,2012-07-07
Dong Hyun-Kim,Demian-Maia,Loss,Win,2012-07-07
Chad-Mendes,Cody-McKenzie,Win,Loss,2012-07-07
Ivan-Menjivar,Mike-Easton,Loss,Win,2012-07-07
Melvin-Guillard,Fabricio-Camoes,Win,Loss,2012-07-07
Gleison-Tibau,Khabib-Nurmagomedov,Loss,Win,2012-07-07
Constantinos-Philippou,Riki-Fukuda,Win,Loss,2012-07-07
John-Alessio,Shane-Roller,Loss,Win,2012-07-07
Rafaello-Oliveira,Yoislandy-Izquierdo,Win,Loss,2012-07-07
Mark-Munoz,Chris-Weidman,Loss,Win,2012-07-11
James-Te Huna,Joey-Beltran,Win,Loss,2012-07-11
Aaron-Simpson,Kenny-Robertson,Win,Loss,2012-07-11
Karlos-Vemola,Francis-Carmont,Loss,Win,2012-07-11
TJ-Dillashaw,Vaughan-Lee,Win,Loss,2012-07-11
Rafael-Dos Anjos,Anthony-Njokuani,Win,Loss,2012-07-11
Damacio-Page,Alex-Caceres,Loss,Win,2012-07-11
Chris-Cariaso,Josh-Ferguson,Win,Loss,2012-07-11
Rafael-Natal,Andrew-Craig,Loss,Win,2012-07-11
Marcelo-Guimaraes,Dan-Stittgen,Win,Loss,2012-07-11
Raphael-Assuncao,Issei-Tamura,Win,Loss,2012-07-11
Junior-Dos Santos,Frank-Mir,Win,Loss,2012-05-26
Cain-Velasquez,Antonio-Silva,Win,Loss,2012-05-26
Roy-Nelson,Dave-Herman,Win,Loss,2012-05-26
Stipe-Miocic,Shane-del Rosario,Win,Loss,2012-05-26
Stefan-Struve,Lavar-Johnson,Win,Loss,2012-05-26
Diego-Brandao,Darren-Elkins,Loss,Win,2012-05-26
Edson-Barboza,Jamie-Varner,Loss,Win,2012-05-26
Jason-Miller,CB-Dollaway,Loss,Win,2012-05-26
Dan-Hardy,Duane-Ludwig,Win,Loss,2012-05-26
Jacob-Volkmann,Paul-Sass,Loss,Win,2012-05-26
Kyle-Kingsbury,Glover-Teixeira,Loss,Win,2012-05-26
Mike-Brown,Daniel-Pineda,Win,Loss,2012-05-26
Wanderlei-Silva,Rich-Franklin,Loss,Win,2012-06-23
Cezar-Ferreira,Sergio-Moraes,Win,Loss,2012-06-23
Godofredo-Pepey,Rony-Jason,Loss,Win,2012-06-23
Fabricio-Werdum,Mike-Russow,Win,Loss,2012-06-23
Iuri-Alcantara,Hacran-Dias,Loss,Win,2012-06-23
Anistavio-Medeiros,Rodrigo-Damm,Loss,Win,2012-06-23
Delson-Heleno,Francisco-Trinaldo,Loss,Win,2012-06-23
John-Teixeira,Hugo-Viana,Loss,Win,2012-06-23
Thiago-Perpetuo,Leonardo-Mafra,Win,Loss,2012-06-23
Marcos-Vinicius,Wagner-Campos,Win,Loss,2012-06-23
Felipe-Arantes,Milton-Vieira,Draw,Draw,2012-06-23
Demetrious-Johnson,Ian-McCall,Win,Loss,2012-06-08
Erick-Silva,Charlie-Brenneman,Win,Loss,2012-06-08
Mike-Pyle,Josh-Neer,Win,Loss,2012-06-08
Eddie-Wineland,Scott-Jorgensen,Win,Loss,2012-06-08
Mike-Pierce,Carlos Eduardo-Rocha,Win,Loss,2012-06-08
Seth-Baczynski,Lance-Benoist,Win,Loss,2012-06-08
Leonard-Garcia,Matt-Grice,Loss,Win,2012-06-08
Dustin-Pague,Jared-Papazian,Win,Loss,2012-06-08
Tim-Means,Justin-Salas,Win,Loss,2012-06-08
Buddy-Roberts,Caio-Magalhaes,Win,Loss,2012-06-08
Henry-Martinez,Bernardo-Magalhaes,Win,Loss,2012-06-08
Jake-Hecht,Sean-Pierson,Loss,Win,2012-06-08
Gray-Maynard,Clay-Guida,Win,Loss,2012-06-22
Sam-Stout,Spencer-Fisher,Win,Loss,2012-06-22
Brian-Ebersole,TJ-Waldburger,Win,Loss,2012-06-22
Ross-Pearson,Cub-Swanson,Loss,Win,2012-06-22
Hatsu-Hioki,Ricardo-Lamas,Loss,Win,2012-06-22
Ramsey-Nijem,CJ-Keith,Win,Loss,2012-06-22
Rick-Story,Brock-Jardine,Win,Loss,2012-06-22
Steven-Siler,Joey-Gambino,Win,Loss,2012-06-22
Nick-Catone,Chris-Camozzi,Loss,Win,2012-06-22
Matt-Brown,Luis-Ramos,Win,Loss,2012-06-22
Dan-Miller,Ricardo-Funch,Win,Loss,2012-06-22
Ken-Stone,Dustin-Pague,Win,Loss,2012-06-22
Urijah-Faber,Renan-Barao,Loss,Win,2012-07-21
Hector-Lombard,Tim-Boetsch,Loss,Win,2012-07-21
Cheick-Kongo,Shawn-Jordan,Win,Loss,2012-07-21
Brian-Ebersole,James-Head,Loss,Win,2012-07-21
Chris-Clements,Matthew-Riddle,No Contest,No Contest,2012-07-21
Court-McGee,Nick-Ring,Loss,Win,2012-07-21
Roland-Delorme,Francisco-Rivera,No Contest,No Contest,2012-07-21
Anthony-Perosh,Ryan-Jimmo,Loss,Win,2012-07-21
Bryan-Caraway,Mitch-Gagnon,Win,Loss,2012-07-21
Antonio-Carvalho,Daniel-Pineda,Win,Loss,2012-07-21
Mitch-Clarke,Anton-Kuivanen,Loss,Win,2012-07-21
Mauricio-Rua,Brandon-Vera,Win,Loss,2012-08-04
Lyoto-Machida,Ryan-Bader,Win,Loss,2012-08-04
Joe-Lauzon,Jamie-Varner,Win,Loss,2012-08-04
Mike-Swick,DaMarques-Johnson,Win,Loss,2012-08-04
Cole-Miller,Nam-Phan,Loss,Win,2012-08-04
Phil-Davis,Wagner-Prado,No Contest,No Contest,2012-08-04
Josh-Grispi,Rani-Yahya,Loss,Win,2012-08-04
Philip-De Fries,Oli-Thompson,Win,Loss,2012-08-04
Manvel-Gamburyan,Michihiro-Omigawa,Win,Loss,2012-08-04
John-Moraga,Ulysses-Gomez,Win,Loss,2012-08-04
George-Sotiropoulos,Ross-Pearson,Loss,Win,2012-12-14
Robert-Whittaker,Brad-Scott,Win,Loss,2012-12-14
Colin-Fletcher,Norman-Parke,Loss,Win,2012-12-14
Hector-Lombard,Rousimar-Palhares,Win,Loss,2012-12-14
Chad-Mendes,Yaotzin-Meza,Win,Loss,2012-12-14
Igor-Pokrajac,Joey-Beltran,No Contest,No Contest,2012-12-14
Mike-Pierce,Seth-Baczynski,Win,Loss,2012-12-14
Ben-Alloway,Manuel-Rodriguez,Win,Loss,2012-12-14
Brendan-Loughnane,Mike-Wilkinson,Loss,Win,2012-12-14
Nick-Penner,Cody-Donovan,Loss,Win,2012-12-14
Georges-St-Pierre,Carlos-Condit,Win,Loss,2012-11-17
Johny-Hendricks,Martin-Kampmann,Win,Loss,2012-11-17
Francis-Carmont,Tom-Lawlor,Win,Loss,2012-11-17
Mark-Bocek,Rafael-Dos Anjos,Loss,Win,2012-11-17
Mark-Hominick,Pablo-Garza,Loss,Win,2012-11-17
Patrick-Cote,Alessio-Sakara,Win,Loss,2012-11-17
Cyrille-Diabate,Chad-Griggs,Win,Loss,2012-11-17
Sam-Stout,John-Makdessi,Loss,Win,2012-11-17
Antonio-Carvalho,Rodrigo-Damm,Win,Loss,2012-11-17
Matthew-Riddle,John-Maguire,Win,Loss,2012-11-17
Ivan-Menjivar,Azamat-Gashimov,Win,Loss,2012-11-17
Steven-Siler,Darren-Elkins,Loss,Win,2012-11-17
Benson-Henderson,Frankie-Edgar,Win,Loss,2012-08-11
Donald-Cerrone,Melvin-Guillard,Win,Loss,2012-08-11
Jake-Shields,Ed-Herman,No Contest,No Contest,2012-08-11
Yushin-Okami,Buddy-Roberts,Win,Loss,2012-08-11
Justin-Lawrence,Max-Holloway,Loss,Win,2012-08-11
Dennis-Bermudez,Tommy-Hayden,Win,Loss,2012-08-11
Jared-Hamman,Michael-Kuiper,Loss,Win,2012-08-11
Ken-Stone,Erik-Perez,Loss,Win,2012-08-11
Dustin-Pague,Chico-Camus,Loss,Win,2012-08-11
Nik-Lentz,Eiji-Mitsuoka,Win,Loss,2012-08-11
Stefan-Struve,Stipe-Miocic,Win,Loss,2012-09-29
Dan-Hardy,Amir-Sadollah,Win,Loss,2012-09-29
Brad-Pickett,Yves-Jabouin,Win,Loss,2012-09-29
Paul-Sass,Matt-Wiman,Loss,Win,2012-09-29
John-Hathaway,John-Maguire,Win,Loss,2012-09-29
Che-Mills,Duane-Ludwig,Win,Loss,2012-09-29
Kyle-Kingsbury,Jimi-Manuwa,Loss,Win,2012-09-29
Andy-Ogle,Akira-Corassani,Loss,Win,2012-09-29
Tom-Watson,Brad-Tavares,Loss,Win,2012-09-29
DaMarques-Johnson,Gunnar-Nelson,Loss,Win,2012-09-29
Jason-Young,Robert-Peralta,Loss,Win,2012-09-29
Travis-Browne,Antonio-Silva,Loss,Win,2012-10-05
Jake-Ellenberger,Jay-Hieron,Win,Loss,2012-10-05
John-Dodson,Jussier-Formiga,Win,Loss,2012-10-05
Josh-Neer,Justin-Edwards,Loss,Win,2012-10-05
Michael-Johnson,Danny-Castillo,Win,Loss,2012-10-05
Aaron-Simpson,Mike-Pierce,Loss,Win,2012-10-05
Marcus-LeVesseur,Carlo-Prater,Win,Loss,2012-10-05
Jacob-Volkmann,Shane-Roller,Win,Loss,2012-10-05
Bart-Palaszewski,Diego-Nunes,Loss,Win,2012-10-05
Darren-Uyenoyama,Phil-Harris,Win,Loss,2012-10-05
Jon-Jones,Vitor-Belfort,Win,Loss,2012-09-22
Joseph-Benavidez,Demetrious-Johnson,Loss,Win,2012-09-22
Michael-Bisping,Brian-Stann,Win,Loss,2012-09-22
Matt-Hamill,Roger-Hollett,Win,Loss,2012-09-22
Cub-Swanson,Charles-Oliveira,Win,Loss,2012-09-22
Igor-Pokrajac,Vinny-Magalhaes,Loss,Win,2012-09-22
TJ-Grant,Evan-Dunham,Win,Loss,2012-09-22
Sean-Pierson,Lance-Benoist,Win,Loss,2012-09-22
Jimy-Hettes,Marcus-Brimage,Loss,Win,2012-09-22
Seth-Baczynski,Simeon-Thoresen,Win,Loss,2012-09-22
Mitch-Gagnon,Walel-Watson,Win,Loss,2012-09-22
Kyle-Noke,Charlie-Brenneman,Win,Loss,2012-09-22
Junior-Dos Santos,Cain-Velasquez,Loss,Win,2012-12-29
Jim-Miller,Joe-Lauzon,Win,Loss,2012-12-29
Tim-Boetsch,Constantinos-Philippou,Loss,Win,2012-12-29
Yushin-Okami,Alan-Belcher,Win,Loss,2012-12-29
Chris-Leben,Derek-Brunson,Loss,Win,2012-12-29
Brad-Pickett,Eddie-Wineland,Loss,Win,2012-12-29
Erik-Perez,Byron-Bloodworth,Win,Loss,2012-12-29
Melvin-Guillard,Jamie-Varner,Loss,Win,2012-12-29
Michael-Johnson,Myles-Jury,Loss,Win,2012-12-29
Philip-De Fries,Todd-Duffee,Loss,Win,2012-12-29
Leonard-Garcia,Max-Holloway,Loss,Win,2012-12-29
Chris-Cariaso,John-Moraga,Loss,Win,2012-12-29
Rich-Franklin,Cung-Le,Loss,Win,2012-11-10
Thiago-Silva,Stanislav-Nedkov,No Contest,No Contest,2012-11-10
Dong Hyun-Kim,Paulo-Thiago,Win,Loss,2012-11-10
Takanori-Gomi,Mac-Danzig,Win,Loss,2012-11-10
Zhang-Tiequan,Jon-Tuck,Loss,Win,2012-11-10
Takeya-Mizugaki,Jeff-Hougland,Win,Loss,2012-11-10
Alex-Caceres,Motonobu-Tezuka,Win,Loss,2012-11-10
Yasuhiro-Urushitani,John-Lineker,Loss,Win,2012-11-10
Riki-Fukuda,Tom-DeBlass,Win,Loss,2012-11-10
Anderson-Silva,Stephan-Bonnar,Win,Loss,2012-10-13
Antonio Rodrigo-Nogueira,Dave-Herman,Win,Loss,2012-10-13
Glover-Teixeira,Fabio-Maldonado,Win,Loss,2012-10-13
Jon-Fitch,Erick-Silva,Win,Loss,2012-10-13
Phil-Davis,Wagner-Prado,Win,Loss,2012-10-13
Demian-Maia,Rick-Story,Win,Loss,2012-10-13
Rony-Jason,Sam-Sicilia,Win,Loss,2012-10-13
Gleison-Tibau,Francisco-Trinaldo,Win,Loss,2012-10-13
Diego-Brandao,Joey-Gambino,Win,Loss,2012-10-13
Sergio-Moraes,Renee-Forte,Win,Loss,2012-10-13
Luiz-Cane,Chris-Camozzi,Loss,Win,2012-10-13
Cristiano-Marcello,Reza-Madadi,Win,Loss,2012-10-13
Benson-Henderson,Nate-Diaz,Win,Loss,2012-12-08
Mauricio-Rua,Alexander-Gustafsson,Loss,Win,2012-12-08
BJ-Penn,Rory-MacDonald,Loss,Win,2012-12-08
Mike-Swick,Matt-Brown,Loss,Win,2012-12-08
Yves-Edwards,Jeremy-Stephens,Win,Loss,2012-12-08
Raphael-Assuncao,Mike-Easton,Win,Loss,2012-12-08
Ramsey-Nijem,Joe-Proctor,Win,Loss,2012-12-08
Daron-Cruickshank,Henry-Martinez,Win,Loss,2012-12-08
Marcus-LeVesseur,Abel-Trujillo,Loss,Win,2012-12-08
Dennis-Siver,Nam-Phan,Win,Loss,2012-12-08
Scott-Jorgensen,John-Albert,Win,Loss,2012-12-08
Roy-Nelson,Matt-Mitrione,Win,Loss,2012-12-15
Colton-Smith,Mike-Ricci,Win,Loss,2012-12-15
Pat-Barry,Shane-del Rosario,Win,Loss,2012-12-15
Dustin-Poirier,Jonathan-Brookins,Win,Loss,2012-12-15
Mike-Pyle,James-Head,Win,Loss,2012-12-15
Johnny-Bedford,Marcos-Vinicius,Win,Loss,2012-12-15
Vinc-Pichel,Rustam-Khabilov,Loss,Win,2012-12-15
TJ-Waldburger,Nick-Catone,Win,Loss,2012-12-15
Reuben-Duran,Hugo-Viana,Loss,Win,2012-12-15
Mike-Rio,John-Cofer,Win,Loss,2012-12-15
Jared-Papazian,Tim-Elliott,Loss,Win,2012-12-15
Demetrious-Johnson,John-Dodson,Win,Loss,2013-01-26
Quinton-Jackson,Glover-Teixeira,Loss,Win,2013-01-26
Anthony-Pettis,Donald-Cerrone,Win,Loss,2013-01-26
Erik-Koch,Ricardo-Lamas,Loss,Win,2013-01-26
TJ-Grant,Matt-Wiman,Win,Loss,2013-01-26
Clay-Guida,Hatsu-Hioki,Win,Loss,2013-01-26
Mike-Stumpf,Pascal-Krauss,Loss,Win,2013-01-26
Ryan-Bader,Vladimir-Matyushenko,Win,Loss,2013-01-26
Mike-Russow,Shawn-Jordan,Loss,Win,2013-01-26
Rafael-Natal,Sean-Spencer,Win,Loss,2013-01-26
Simeon-Thoresen,David-Mitchell,Loss,Win,2013-01-26
Jose-Aldo,Frankie-Edgar,Win,Loss,2013-02-03
Rashad-Evans,Rogerio-Nogueira,Loss,Win,2013-02-03
Alistair-Overeem,Antonio-Silva,Loss,Win,2013-02-03
Jon-Fitch,Demian-Maia,Loss,Win,2013-02-03
Joseph-Benavidez,Ian-McCall,Win,Loss,2013-02-03
Gleison-Tibau,Evan-Dunham,Loss,Win,2013-02-03
Tyron-Woodley,Jay-Hieron,Win,Loss,2013-02-03
Jacob-Volkmann,Bobby-Green,Loss,Win,2013-02-03
Yves-Edwards,Isaac-Vallie-Flagg,Loss,Win,2013-02-03
